title,price,description,images,sku,stock,categories
Phone 12ProMax Sticker Tape For Wireless Charging Heat Dissipation,3.60,Description Product Specifications and Feartures: -Phone 12ProMax Sticker Tape For Wireless Charging Heat Dissipation,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE.jpeg,SKU-HUTL27,3,parts/board/ic
Phone 13 Sticker Tape For Wireless Charging Heat Dissipation,3.60,Description Product Specifications and Feartures: -Phone 13 Sticker Tape For Wireless Charging Heat Dissipation,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE.jpeg,SKU-LTPPMS,46,parts/board/ic
Phone 13Mini Sticker Tape For Wireless Charging Heat Dissipation,3.60,Description Product Specifications and Feartures: -Phone 13Mini Sticker Tape For Wireless Charging Heat Dissipation,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE.jpeg,SKU-SROPK4,18,parts/board/ic
Phone 13Pro Sticker Tape For Wireless Charging Heat Dissipation,3.60,Description Product Specifications and Feartures: -Phone 13Pro Sticker Tape For Wireless Charging Heat Dissipation,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE.jpeg,SKU-ZRSF76,10,parts/board/ic
Phone 13ProMax Sticker Tape For Wireless Charging Heat Dissipation,3.60,Description Product Specifications and Feartures: -Phone 13ProMax Sticker Tape For Wireless Charging Heat Dissipation,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE.jpeg,SKU-4PQTPM,24,parts/board/ic
Phone Air (17Air) LCD ORI New Full Set,2100.00,"Description Product Specifications and Features: -Phone Air (17Air) LCD ORI New Full Set -Warranty 1 Month,(AFTER DIAGNOS NO WARRANTY) -Self Damage Will Be No Warranty",https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-17-AIR-LCD-ORI-NEW-FS.jpeg,SKU-CGERUI,59,lcd
SANHEKING Lamination Mold – 17Pro,138.00,Description SANHEKING Lamination Mold – 17Pro,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5708-100x100.jpg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5708-150x150.jpg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5708-300x300.jpg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5708-350x350.jpg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5708-scaled.jpg,SKU-BXNQ0W,95,uncategorized
SANHEKING Lamination Mold – 17Promax,138.00,Description SANHEKING Lamination Mold – 17Promax,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5709.jpg,SKU-XSM0AL,82,uncategorized
Vivo V30-5G Ribbon UI For Charging,8.40,Description Product Specifications and Features: -Vivo V30-5G Ribbon UI For Charging -(LJS18-5G(M)),https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V30-5G-RB-UI-CG.jpeg,SKU-U01J2R,25,parts/board/ic
Vivo V40 Pro-5G V2347 LCD ORI Full Set,210.00,Description Product Specifications and Features: -Vivo V40 Pro-5G V2347 LCD ORI Full Set -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/VIVO-V40-PRO-LCD-ORI-FS.jpeg,SKU-6ZAVSE,79,lcd
2UUL SD24 4-in-1 Screwdriver Bit Storage Set (4PCS),21.60,"Description Features: -Magnetic storage -Latch Design -Using S2 High-Hardness Alloy -Bit Type: Convex Cross 2.5mm, Tri-Point 0.6mm, Philips 1.2/1.5mm, Pentalobe 0.8mm",https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5706-1.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5706-2.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5706-3.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5706-4.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5706-5.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5706-6.webp,SKU-LCX64V,64,parts/board/ic
2UUL ST95 Screw Magdock Alloy Screw Storage Pad,30.00,"Description Features: -7-Zone combination, magnetic storage for different types of screws, at the bottom of each partition, rubber magnets are used to attach screws, making them less likely to be lost -Magnetic module, NdFeB magnet: The product comes with a strong magnetic module that can magnetize the screwdriver bit, making the screwdriver more user-friendly -Aluminum alloy material CNC precision machining, high hardness, corrosion resistance, good looking and practical",https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5707-1.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5707-2.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5707-3.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5707-4.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5707-5.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5707-6.webp,SKU-TSPJRZ,80,flex/port
MCDODO CA-656 1.2 Meter 60W 4-IN-1 Magtidy Travel Cable,19.44,Description MCDODO CA-656 1.2 Meter 60W 4-IN-1 Magtidy Travel Cable,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-1-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-1-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-1-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-1-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-1.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-2-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-2-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-2-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-2-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-3-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-3-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-3-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-3-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-4-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-4-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-4-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-4-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-5-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-5-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-5-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-656-5-350x350.jpeg,SKU-YQK12M,62,accessories
MCDODO CA-817 1.2 Meter 3A Fast Charge Phone Cable with 7 Colorful Lights,10.20,Description MCDODO CA-817 1.2 Meter 3A Fast Charge Phone Cable with 7 Colorful Lights,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-1-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-1-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-1-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-1-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-1.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-2-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-2-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-2-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-2-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-3-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-3-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-3-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-3-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-4-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-4-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-4-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-4-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-5-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-5-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-5-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-817-5-350x350.jpeg,SKU-G8KU8Y,80,accessories
MCDODO CA-818 1.2 Meter 6A Fast Charge Type-C Cable with 7 Colorful Lights,11.88,Description MCDODO CA-818 1.2 Meter 6A Fast Charge Type-C Cable with 7 Colorful Lights,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-1-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-1-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-1-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-1-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-2-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-2-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-2-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-2-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-3-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-3-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-3-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-3-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-4-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-4-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-4-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-4-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-4.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-5-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-5-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-5-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-818-5-350x350.jpeg,SKU-QI2UHR,95,accessories
MCDODO CA-819 1.2 Meter 36W Fast Charge PD Type-C to Phone Cable with 7 Colorful Lights,12.72,Description MCDODO CA-819 1.2 Meter 36W Fast Charge PD Type-C to Phone Cable with 7 Colorful Lights,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-1-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-1-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-1-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-1-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-1.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-2-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-2-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-2-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-2-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-3-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-3-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-3-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-3-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-4-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-4-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-4-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-4-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-5-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-5-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-5-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-819-5-350x350.jpeg,SKU-87UBUW,5,accessories
MCDODO CA-820 1.2 Meter 100W Fast Charge PD Type-C to Type-C Cable with 7 Colorful Lights,12.72,Description MCDODO CA-820 1.2 Meter 100W Fast Charge PD Type-C to Type-C Cable with 7 Colorful Lights,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/CA-820-5.jpeg,SKU-5M4Z4F,41,accessories
